operator,ref,ngr,height,type,band,atpdbw,mlpdbw,mlpdbm,lat,lng
T-Mobile,95910,NZ4752035580,16,GSM,1800,SECTOR,26,32,,54.71300888,-1.263906479
T-Mobile,95912,NZ4796033615,11,GSM,1800,SECTOR,27,32,,54.69530869,-1.257403374
T-Mobile,95914,NZ5128031880,25,GSM,1800,SECTOR,25,32,,54.67939377,-1.206196308
T-Mobile,95915,NZ4784529970,15.8,GSM,1800,SECTOR,25,32,,54.66256332,-1.259786248
T-Mobile,95916,NZ5196027900,24,GSM,1800,SECTOR,26,32,,54.64356232,-1.19636476
T-Mobile,96990,NZ5082030110,30,GSM,1800,SECTOR,26,32,,54.66353989,-1.213638425
T-Mobile,96997,NZ5061032640,15,GSM,1800,SECTOR,26,32,,54.68629456,-1.216461301
T-Mobile,74102,NZ4931229910,11,GSM,1800,SECTOR,19,32,,54.66188812,-1.237058401
T-Mobile,74160,NZ5135633410,11,GSM,1800,SECTOR,19,32,,54.69314194,-1.204749465
Orange,0037,NZ4973028400,15,UMTS,2100,SECTOR,29.6,,65,54.6482811,-1.230831504
Orange,0056,NZ5117731092,25,GSM,1800,SECTOR,27.8,32,,54.67232513,-1.207937837
Three,0001,NZ4921635892,26.3,UMTS,2100,Sectored,18.7,,65,54.71565247,-1.237537622
Three,0002,NZ4990234178,26,UMTS,2100,Sectored,26.26,,65,54.70018005,-1.227170229
Three,0003,NZ5280833741,18,UMTS,2100,Sectored,18.7,,65,54.695961,-1.182174206
Three,0008,NZ5057332233,20,UMTS,2100,Sectored,18.7,,65,54.68264008,-1.217103362
Three,0010,NZ4901131706,15,UMTS,2100,Sectored,18.7,,65,54.67806244,-1.241422772
Three,0011,NZ5117731092,19,UMTS,2100,Sectored,18.7,,65,54.67232513,-1.207937837
Three,0017,NZ4907028255,25,UMTS,2100,Sectored,26.56,,65,54.64704514,-1.241087556
Three,0199,NZ4957734813,31,UMTS,2100,Sectored,18.7,,65,54.70592117,-1.232113361
